date,Bleu HC,Bleu HP,Blanc HC,Blanc HP,Rouge HC,Rouge HP,Inconnu,,
2022-02-10 17:00:00 +0100,1471.601,120.727,36.405,1.802,2.911,0.753,1628.134,,
2022-02-11 00:00:00 +0100,1471.601,120.727,36.405,1.802,2.911,0.753,1628.134,,
2022-02-12 00:00:00 +0100,1471.601,120.727,36.405,1.802,2.911,0.753,1628.134,,
2022-02-13 00:00:00 +0100,1479.143,120.76,36.416,1.802,2.911,0.753,1628.134,,
2022-02-14 00:00:00 +0100,1484.415,120.76,36.416,1.802,2.911,0.753,1628.134,,
2022-02-15 00:00:00 +0100,1484.415,120.76,36.416,1.802,2.911,0.753,1628.134,,
2022-02-16 00:00:00 +0100,1484.415,120.76,36.416,1.802,2.911,0.753,1628.134,,
2022-02-17 00:00:00 +0100,1484.415,120.76,36.416,1.802,2.911,0.753,1628.134,,
2022-02-18 00:00:00 +0100,1486.893,120.76,36.416,1.802,2.911,0.753,1628.134,,
2022-02-19 00:00:00 +0100,1486.893,120.76,36.416,1.802,2.911,0.753,1628.134,,
2022-02-20 00:00:00 +0100,1494.513,120.76,36.416,1.802,2.911,0.753,1628.134,,
2022-02-21 00:00:00 +0100,1500.075,120.76,36.416,1.802,2.911,0.753,1628.134,,
2022-02-22 00:00:00 +0100,1500.075,120.76,36.416,1.802,2.911,0.753,1628.134,,
2022-02-23 00:00:00 +0100,1502.493,120.76,36.416,1.802,2.911,0.753,1628.134,,
2022-02-24 00:00:00 +0100,1502.493,120.76,36.416,1.802,2.911,0.753,1628.134,,
2022-02-25 00:00:00 +0100,1502.983,120.76,36.416,1.802,2.911,0.753,1628.134,,
2022-02-26 00:00:00 +0100,1502.983,120.76,36.416,1.802,2.911,0.753,1628.134,,
2022-02-27 00:00:00 +0100,1502.983,120.76,36.416,1.802,2.911,0.753,1628.134,,
2022-02-28 00:00:00 +0100,1502.983,120.76,36.416,1.802,2.911,0.753,1628.134,,
2022-03-01 00:00:00 +0100,1502.983,120.76,36.416,1.802,2.911,0.753,1628.134,,
2022-03-02 00:00:00 +0100,1502.983,120.76,37.963,1.802,2.911,0.753,1628.134,,
2022-03-03 00:00:01 +0100,1502.983,120.76,37.963,1.802,2.911,0.753,1628.134,,
2022-03-04 00:00:00 +0100,1502.983,120.76,37.963,1.802,2.911,0.753,1628.134,,
2022-03-05 00:00:00 +0100,1502.983,120.76,37.963,1.802,2.911,0.753,1628.134,,
2022-03-06 00:00:00 +0100,1502.983,120.76,37.963,1.802,2.911,0.753,1628.134,,
2022-03-07 00:00:00 +0100,1503.528,120.76,37.963,1.802,2.911,0.753,1628.134,,
2022-03-08 00:00:00 +0100,1503.528,120.76,37.963,1.802,2.911,0.753,1628.134,,
2022-03-09 00:00:00 +0100,1503.528,120.76,37.963,1.802,2.911,0.753,1628.134,,
2022-03-10 00:00:00 +0100,1503.543,120.76,37.963,1.802,2.911,0.753,1628.134,,
2022-03-11 00:00:00 +0100,1504.3,120.76,37.963,1.802,2.911,0.753,1628.134,,
2022-03-12 00:00:00 +0100,1504.3,120.76,37.963,1.802,2.911,0.753,1628.134,,
2022-03-13 00:00:00 +0100,1504.3,120.76,37.963,1.802,2.911,0.753,1628.134,,
2022-03-14 00:00:00 +0100,1509.15,120.76,37.963,1.802,2.911,0.753,1628.134,,
2022-03-15 00:00:00 +0100,1509.15,120.76,37.963,1.802,2.911,0.753,1628.134,,
2022-03-16 00:00:00 +0100,1509.15,120.76,37.963,1.802,2.911,0.753,1628.134,,
2022-03-17 00:00:00 +0100,1509.15,120.76,37.963,1.802,2.911,0.753,1628.134,,
2022-03-18 00:00:00 +0100,1509.15,120.76,37.963,1.802,2.911,0.753,1628.134,,
2022-03-19 00:00:00 +0100,1516.393,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-03-20 00:00:00 +0100,1516.393,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-03-21 00:00:00 +0100,1518.198,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-03-22 00:00:00 +0100,1518.198,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-03-23 00:00:00 +0100,1518.198,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-03-24 00:00:00 +0100,1518.198,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-03-25 00:00:00 +0100,1519.152,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-03-26 00:00:00 +0100,1519.152,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-03-27 00:00:00 +0100,1526.801,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-03-28 00:00:00 +0200,1542.406,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-03-29 00:00:00 +0200,1546.617,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-03-30 00:00:00 +0200,1546.617,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-03-31 00:00:00 +0200,1549.226,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-01 00:00:00 +0200,1549.226,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-02 00:00:00 +0200,1549.226,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-03 00:00:00 +0200,1554.01,120.783,37.963,1.802,2.911,0.753,1628.134,,
2022-04-04 00:00:00 +0200,1555.705,120.783,37.963,1.802,2.911,0.753,1628.134,,
